name,domain,input_type,output_type,difficulty,tags,can_invert
inclusion_exclusion,combinatorics,integer,count,3,combinatorics|inclusion-exclusion|counting,False
induction,other,integer,integer,3,reasoning|proof|induction,False
induction_step,other,any,dict,3,operational|proof|logic,False
inequality_constraints,other,integer,integer,3,inequalities,False
infimum_of_convergence_region,analysis,list,number,3,analysis|convergence|infimum,False
inradius,geometry,triangle,geometric_value,2,geometry|triangle|circle|inradius,False
inradius_inverse_side,geometry,geometric_value,geometric_value,4,geometry|triangle|inradius|inverse,False
inscribed_angle_theorem,geometry,integer,integer,3,geometry|circle,False
integer_partitions_into_k,combinatorics,integer,count,3,combinatorics|partitions|counting,False
integral_convergence_test,analysis,none,number,2,analysis|integrals|convergence,False
integrand_dominated_bound,analysis,none,number,2,analysis|integrals|bounds,False
intersection_line_circle,geometry,geometric,integer,3,geometry|intersection|line|circle,False
intersection_two_lines,geometry,geometric,integer,2,geometry|intersection|line,False
inversive_geometry,geometry,point,point,4,geometry|transformation|inversion|circle,False
involution,combinatorics,none,integer,4,functional_equation|deep_insight|combinatorics|involution,False
is_acute_angle,geometry,number,boolean,1,geometry|angles,False
is_connected_space,other,none,boolean,2,topology|connectivity,False
is_even,number_theory,integer,boolean,1,number_theory|parity,False
is_odd,number_theory,integer,boolean,1,number_theory|parity,False
is_open_set,other,none,boolean,2,topology|sets,False
is_perfect_cube,number_theory,integer,integer,1,number_theory|cubes,False
is_perfect_square,number_theory,integer,integer,1,number_theory|squares,False
is_prime,number_theory,integer,boolean,1,number_theory|primes,False
is_zero_ring,algebra,number,number,1,analysis|algebra|ring_theory,False
isogonal_conjugation,geometry,integer,integer,5,geometry|triangle|isogonal|advanced,False
isosceles_properties,geometry,integer,integer,3,geometry|triangle|isosceles,False
ito_integral_expectation,analysis,none,number,2,analysis|stochastic|ito|expectation,False
jacobi_symbol,number_theory,integer,integer,2,number_theory|quadratic_residues,True
jensen_functional,other,none,integer,5,functional_equation|deep_insight|convexity,False
jensen_inequality,algebra,sequence,integer,4,algebra|inequalities|jensen|convex,False
kleitman_rothschild_height_bound,combinatorics,integer,integer,4,combinatorics|poset|random|theorem|bounds,False
krull_dimension_from_transcendence_degree,geometry,none,integer,5,algebraic_geometry|commutative_algebra|dimension_theory,False
kummer_inverse_k,number_theory,integer,integer,4,number_theory|valuation|inverse,False
kummer_inverse_n,number_theory,integer,integer,4,number_theory|valuation|inverse,False
kummer_valuation,number_theory,integer,integer,3,number_theory|valuation|binomial,True
lagrange_optimize,algebra,sequence,integer,5,algebra|optimization|lagrange|calculus,False
large_binomial,combinatorics,integer,integer,2,combinatorics|binomial|large_values|explosive_growth,False
large_catalan,combinatorics,integer,integer,3,combinatorics|catalan|large_values|explosive_growth,False
large_factorial,combinatorics,integer,integer,2,combinatorics|factorial|large_values|explosive_growth,False
large_fibonacci,number_theory,integer,integer,2,number_theory|sequences|fibonacci|large_values|explosive_growth,False
large_power,number_theory,integer,integer,2,number_theory|exponentiation|large_values|explosive_growth,False
large_power_tower,number_theory,integer,integer,4,number_theory|exponentiation|tetration|large_values|explosive_growth,False
large_stirling,combinatorics,integer,integer,3,combinatorics|stirling|large_values|explosive_growth,False
largest_n_for_injective_evaluation,algebra,integer,integer,3,algebra|polynomials|injectivity,False
lattice_convex_polygon,geometry,integer,integer,8,geometry|lattice|totient|extremal,True
lattice_paths,combinatorics,integer,count,2,combinatorics|paths|counting,False
